entid,level
122697049,C
959830672,C
564421968,C
658987796,C
1189216366,C
1002985609,C
366200269,C
959453158,C
1114628681,C
191956142,C
805505073,C
127466506,C
103517987,C
927879748,C
923269747,C
142691942,C
359609594,C
408215553,C
829944891,C
337502360,C
699365643,C
755521214,C
731050139,C
1222373856,C
725698768,C
936352630,C
812917663,C
606816694,C
1031153973,C
221832261,C
284392751,C
635899624,C
1231967447,C
100195671,C
342760793,C
1032764109,C
283120087,C
1133220134,C
873360537,C
133252686,C
334660907,C
348703566,C
482244002,C
102673201,C
693676134,C
516212728,C
252045506,C
1007251516,C
341104627,C
220448783,C
516820430,C
211101804,C
547440553,C
740244329,C
691454697,C
1112373491,C
971092189,C
232565764,C
25283915,C
219381665,C
575004686,C
36393553,C
64662931,C
1201305728,C
423078773,C
166396479,C
549310412,C
533954281,C
790901023,C
439588592,C
819159156,C
774143406,C
643995819,C
312112730,C
221711104,C
858710610,C
989495682,C
24295028,C
532580930,C
100724777,C
1113909111,C
185127097,C
916447957,C
1027568465,C
748718009,C
982196289,C
210167448,C
955997658,C
332305361,C
1001226199,C
1190925362,C
581046359,C
1034982777,C
909295164,C
887911034,C
896254795,C
1103426680,C
1079431533,C
387113835,C
127746,C
65683190,C
411188025,C
632694374,C
920939603,C
594662985,C
1223495456,C
982108430,C
786901755,C
890691479,C
252988494,C
944659388,C
1212253508,C
1190939067,C
190939668,C
662876209,C
487814001,C
1151638109,C
896252612,C
189295442,C
922667663,C
219277588,C
722415296,C
47765794,C
1074939474,C
1085075577,C
661542888,C
615010244,C
601440257,C
98897555,C
359148977,C
773782695,C
777755253,C
934595872,C
966961259,C
315181301,C
701756227,C
364364966,C
604201658,C
1100869661,C
73384809,C
1180550222,C
148194467,C
176043597,C
75481607,C
138665184,C
224078802,C
82117723,C
1041614706,C
651350596,C
1037276358,C
813963206,C
108551665,C
277248694,C
1116063280,C
15678213,C
1220196703,C
640968401,C
256615940,C
1066230471,C
785979544,C
472401174,C
754806435,C
193764953,C
137887832,C
563543209,C
320133386,C
167537706,C
608621770,C
957798659,C
932639370,C
87460021,C
1049675770,C
972256210,C
542928036,C
470090013,C
848068003,C
777389681,C
728197693,C
213804497,C
1090257579,C
134161471,C
109252429,C
1010536331,C
1183612658,C
871120598,C
869389017,C
758012511,C
1151486512,C
901159650,C
55745086,C
