,entid,ENTTYPE,INDUSTRYPHY,ent_name,region_id,rc_cf,rc_le,rc_op,rc_ot,follow,level
0,243165,42,9,fAaliyah,20,0.010299182,0.794166088,0.111383684,0.082799926,0,SSS
1,798162,46,11,mAaron,27,0.001562832,0.006178373,0.881148875,0.110487558,0,C
2,942721,4,5,fAarushi,37,0.003854136,0.95087415,0.003968103,0.040812459,1,SSS
3,1131833,67,12,fAbagail,79,0.001714297,0.004334744,0.976679087,0.016945969,0,SSS
4,2051381,28,15,fAbbey,39,0.009033037,0.535724461,0.143659249,0.308326066,1,SSS
5,2126661,53,10,fAbbi,9,0.001721168,0.140751615,0.000388341,0.010015517,0,SSS
6,2408035,51,11,fAbbie,28,0.022504332,0.072982982,0.054516323,0.846618176,0,SSS
7,2767783,62,5,fAbby,10,0.006420058,0.044575345,0.096641995,0.428156167,0,SSS
8,3444288,22,5,mAbdul,99,0.002714554,0.003711005,0.000587083,0.03558613,0,SSS
9,5488381,66,8,mAbdullah,63,0.226179391,0.135522202,0.055543374,0.577341259,1,SSS
10,5503066,30,11,mAbe,41,0.013354332,0.010204055,0.127898008,0.415800303,0,SSS
11,5508393,58,5,mAbel,35,0.002642087,0.01179404,0.012179092,0.972316384,0,SSS
12,5601451,66,0,fAbi,97,0.004828606,0.00827348,0.025925292,0.959908068,0,SSS
13,6911655,72,8,fAbia,14,0.448688477,0.004154354,0.021542035,0.524272621,0,SSS
14,7276600,4,2,fAbigail,38,0.013687988,0.100567393,0.532776773,0.351012021,0,SSS
15,8485337,62,9,mAbraham,93,0.051177163,0.008493918,0.108946599,0.828884125,0,C
16,8511896,74,5,mAbram,23,0.101174936,0.017257085,0.152166605,0.725376666,0,SSS
17,8765242,31,8,fAbrianna,26,0.038315501,0.137236282,0.0138065,0.809060752,1,SSS
18,9075122,17,2,mAbriel,86,0.223028868,0.044149056,0.031263564,0.699577034,0,SSS
19,10231403,18,12,fAbrielle,24,0.075296432,0.181475773,0.040376958,0.698409021,0,SSS
20,10698350,28,11,fAby,70,0.01054014,0.048913658,0.023493338,0.915666819,0,C
21,10711834,73,9,fAcacia,95,0.487798423,0.003980811,0.011663253,0.495503813,0,C
22,11205016,54,2,mAce,91,0.507861733,0.006873571,0.009043828,0.474653959,0,SSS
23,11517043,10,5,fAda,30,0.039780952,0.04369726,0.095590949,0.817533553,0,SSS
24,11609395,23,12,fAdalia,56,0.569505334,0.001804406,0.005181922,0.42288366,0,SSS
25,11683944,33,2,fAdalyn,18,0.270244479,0.010862524,0.00349101,0.714579463,1,SSS
26,11826214,54,11,mAdam,93,0.465188354,0.016578238,0.039023619,0.477228701,1,SSS
27,11865720,55,4,mAdan,18,0.017102327,0.052054606,0.007996473,0.882063389,0,SSS
28,11879056,9,11,fAddie,7,0.011677213,0.012849107,0.024176719,0.949764609,1,SSS
